epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,15.8036,2.27631,4.99555,1.74595,0.8958,0.5,0.49543,0.29725,2.30852,6.40075,1.62009,0.00043586,0.00043586,0.00043586
17,16.8848,1.93424,3.60781,1.48949,0.49195,0.5,0.49543,0.3468,1.9669,5.80183,1.44383,0.000450912,0.000450912,0.000450912
18,17.817,1.7629,3.52865,1.45354,0.49195,0.5,0.49543,0.3468,1.9669,5.80183,1.44383,0.00046438,0.00046438,0.00046438
19,18.7148,1.84993,3.35632,1.51061,0.70748,0.5,0.49543,0.29725,1.92725,6.25853,1.40228,0.000476264,0.000476264,0.000476264
20,19.5822,2.06895,4.41044,1.55164,0.70748,0.5,0.49543,0.29725,1.92725,6.25853,1.40228,0.000486564,0.000486564,0.000486564
21,20.6035,1.77923,3.03499,1.48098,0.95758,0.5,0.49543,0.29725,1.87694,2.78349,1.32412,0.00049528,0.00049528,0.00049528
22,21.6326,1.28697,2.57351,1.12977,0.95758,0.5,0.49543,0.29725,1.87694,2.78349,1.32412,0.000502412,0.000502412,0.000502412
23,22.504,1.60232,2.75253,1.24646,0.96579,0.5,0.49543,0.3468,1.64935,2.56145,1.28333,0.00050796,0.00050796,0.00050796
24,23.4352,1.51941,2.18882,1.20873,0.96579,0.5,0.49543,0.3468,1.64935,2.56145,1.28333,0.000511924,0.000511924,0.000511924
25,24.4335,1.71016,2.38048,1.47758,0.92893,0.5,0.62,0.32217,1.90496,2.25894,1.46003,0.000514304,0.000514304,0.000514304
26,25.4177,1.30852,1.91847,1.18638,0.92893,0.5,0.62,0.32217,1.90496,2.25894,1.46003,0.0005151,0.0005151,0.0005151
27,26.2626,1.09692,2.87838,1.09906,0.92893,0.5,0.62,0.32217,1.90496,2.25894,1.46003,0.000514312,0.000514312,0.000514312
28,27.2295,1.50317,2.22533,1.29417,1,0.98571,0.995,0.37365,2.04907,2.36337,1.5022,0.00051194,0.00051194,0.00051194
29,28.1186,1.06961,2.86784,1.15792,1,0.98571,0.995,0.37365,2.04907,2.36337,1.5022,0.000507984,0.000507984,0.000507984
30,29.1818,1.13665,2.45512,1.10191,0.97793,1,0.995,0.44715,2.12407,2.40137,1.52914,0.000502444,0.000502444,0.000502444
31,30.0817,1.3858,1.48594,1.219,0.97793,1,0.995,0.44715,2.12407,2.40137,1.52914,0.00049532,0.00049532,0.00049532
32,31.0314,1.50723,2.66389,1.24509,0.97793,1,0.995,0.44715,2.12407,2.40137,1.52914,0.000486612,0.000486612,0.000486612
33,31.9468,1.47843,1.54077,1.06207,0.98784,1,0.995,0.32428,2.08915,1.72595,1.52295,0.00047632,0.00047632,0.00047632
34,32.9114,0.98429,1.58408,1.02237,0.98784,1,0.995,0.32428,2.08915,1.72595,1.52295,0.000464444,0.000464444,0.000464444
35,33.7505,1.25945,1.5152,1.14272,0.98784,1,0.995,0.32428,2.08915,1.72595,1.52295,0.000450984,0.000450984,0.000450984
36,34.6089,1.13157,1.25242,1.02055,0.98686,1,0.995,0.44759,1.94358,1.50939,1.45643,0.00043594,0.00043594,0.00043594
37,35.5147,1.07602,1.1445,1.00459,0.98686,1,0.995,0.44759,1.94358,1.50939,1.45643,0.000419312,0.000419312,0.000419312
38,36.3863,1.22769,1.15365,1.02712,0.98686,1,0.995,0.44759,1.94358,1.50939,1.45643,0.0004011,0.0004011,0.0004011
39,37.3508,0.95304,0.94387,1.0411,0.65398,1,0.82833,0.41459,1.89621,2.20267,1.38476,0.000381304,0.000381304,0.000381304
40,38.4375,1.10877,1.18684,1.10022,0.65398,1,0.82833,0.41459,1.89621,2.20267,1.38476,0.000359924,0.000359924,0.000359924
41,46.2318,0.95831,2.18301,1.01671,0.65398,1,0.82833,0.41459,1.89621,2.20267,1.38476,0.00033696,0.00033696,0.00033696
